id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url
1132851821897064449,1132848925575065600,1558927896000,2019-05-27,10:31:36,SE Asia Standard Time,1051358120000217088,silverskyi,D♛,,Asik jd uncle,['heavenlyiust'],[],[],1,0,0,,[],https://twitter.com/SilverSkyi/status/1132851821897064449,,,0,https://pbs.twimg.com/profile_images/1132770263391588352/KjOPKexw.jpg
1132851809234501632,1132847726335389696,1558927893000,2019-05-27,10:31:33,SE Asia Standard Time,1089891440589586432,widyn2_,• aku jodohmu⚠️,,"Iyaaa.. berasa asik aja gitu😂  Rasanya lebih dipeduliin sama temen cowo, drpd cewe:')","['zeee_8', 'tanya2rl']",[],[],0,0,0,,[],https://twitter.com/WidyN2_/status/1132851809234501632,,,0,https://pbs.twimg.com/profile_images/1132297558317883393/sr-ij9kw.jpg
1132851799692521472,1132851799692521472,1558927891000,2019-05-27,10:31:31,SE Asia Standard Time,1105460773537472514,tapiakucewe,aghu ganteng bgt,,Eh tolong dong sumpah y klo lgi liat asmr di yt pke earphone vol max tiba2 ad iklan ny ngagetin kan g asik.,,[],[],0,0,0,,[],https://twitter.com/tapiakucewe/status/1132851799692521472,,,0,https://pbs.twimg.com/profile_images/1109084113795837953/JbuJST25.jpg
1132851623133306882,1132851623133306882,1558927848000,2019-05-27,10:30:48,SE Asia Standard Time,1472428664,bisamandarin,Little Mandarin BDG,,Nǐ hǎo ayooo cici&koko JOIN NOW di #LITTLEMANDARIN Belajar Mandarin brsma LAOSHI yg seru&TONGXUEMEN yg asik. Bisa hub ke : 022-61112233,,[],[],0,0,0,,['#littlemandarin'],https://twitter.com/BisaMandarin/status/1132851623133306882,,,0,https://pbs.twimg.com/profile_images/3736678667/722c88c8ef1f1c98a6be68533fd0ffc1.jpeg
1132851595350163456,1132851595350163456,1558927842000,2019-05-27,10:30:42,SE Asia Standard Time,1554474458,omtimelinee,IG #PerempuanBijak,,"Cuma satu yang cewek mau, ketika si cowok asik dengan dunia nya sendiri, dia cuma mau di kabarin. Karna apa? Di pikirannya, dia khawatir.",,[],[],0,0,0,,[],https://twitter.com/OmTimelinee/status/1132851595350163456,,,0,https://pbs.twimg.com/profile_images/587987188643602433/Z659spY-.jpg
1132851580779270144,1132851580779270144,1558927838000,2019-05-27,10:30:38,SE Asia Standard Time,966348036594159616,1_hydrogen,Hydrogen,,"@sumeyyesimsirr Profil fotosu Türk bayrağı, kendini ""Ülkesine aşık bir ben"" diye tanımlıyor. Ama sözünü arapça söyleyip Türkçe mealini altına yazıyor, aynı anlama gelen sözlerin arapçasını kutsal sayıp Türkçesini pespaye olarak görüyor. Ya çift kişilikli yada sahtekarın teki🤔  pic.twitter.com/YLuiCf511Q",['sumeyyesimsirr'],[],"['https://pbs.twimg.com/media/D7iyZ7cWwAAcnjs.jpg', 'https://pbs.twimg.com/media/D7iybOgXoAEFLPo.png']",0,0,0,,[],https://twitter.com/1_Hydrogen/status/1132851580779270144,,,0,https://pbs.twimg.com/profile_images/1132785891951431681/Sqn6Btqa.png
1132851517663240192,1132607338722893824,1558927823000,2019-05-27,10:30:23,SE Asia Standard Time,960388728127565824,nazir_jalil,jalil nazir,,Takut dengan dgn chef cup Cake ...x dapat bebas asik g pancing apa barang tuu,['kelabn'],[],[],0,0,0,,[],https://twitter.com/nazir_jalil/status/1132851517663240192,,,0,https://pbs.twimg.com/profile_images/1106349102458007552/22g8S8OJ.jpg
1132851509929086977,1132851509929086977,1558927821000,2019-05-27,10:30:21,SE Asia Standard Time,2339414076,hazalucaar,Galata'ya Aşık Kız,,Aşkla uyandım. 💙,,[],[],0,0,1,,[],https://twitter.com/hazalucaar/status/1132851509929086977,,,0,https://pbs.twimg.com/profile_images/1055878894543364104/6no6Vzpk.jpg
1132851263580672000,1132851263580672000,1558927763000,2019-05-27,10:29:23,SE Asia Standard Time,1085383337483460608,cintajeka,audis,,asik bgt si goyangannya  https://twitter.com/kookpics/status/1132797567723610113 …,,['https://twitter.com/kookpics/status/1132797567723610113'],[],0,0,0,,[],https://twitter.com/cintajeka/status/1132851263580672000,,https://twitter.com/kookpics/status/1132797567723610113,0,https://pbs.twimg.com/profile_images/1131202325412950016/VV70Plxz.jpg
1132850999167717381,1132850999167717381,1558927700000,2019-05-27,10:28:20,SE Asia Standard Time,1128444403444535303,mehmeth2121,Mehmet Hocaoğlu,,"Güneş ve Ay aşkı  Güneşle Ay vaktiyle bacı kardeşmişler. Ama sonra birbirine aşık olurlar. Bu da günah tabii. Tanrı bu olayı öğrendiğinde, her ikisini de gökyüzüne fırlatır. Şimdi her ikisi de birbirinin peşine düşmüş, kavuşmak için çalışırlar. ++",,[],[],0,0,0,,[],https://twitter.com/MehmetH2121/status/1132850999167717381,,,0,https://pbs.twimg.com/profile_images/1128444559883735040/P9NcRcB3.jpg
