,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url,gif_thumb,gif_url,has_parent_tweet,is_quote_status,is_reply_to,quote_id,replies,tags,video_thumb,video_url,is_depressed,cleaned
0,397730606202617857,397730606202617857,1383661340000,2013-11-05,21:22:20,WIB,1148359183,ewithamasria,Ewitha Siregar,,"Hufff RT @Kepotology: Sedih aja kenapa harus mati lampu sekarang, padahal aku lagi pengen galau yg terang2an. Bukan gelap2an gini",,[],[],0,0,0,,[],https://twitter.com/EwithaMasria/status/397730606202617857,,,0.0,https://pbs.twimg.com/profile_images/632616533848514560/jaV67Cvx.jpg,,,,,,,,,,,False,hufff rt sedih kenapa mati lampu sekarang padahal lagi galau terang2an bukan gelap2an begini
1,424554780669640706,424554780669640706,1390056722000,2014-01-18,21:52:02,WIB,251052931,yhe_fahranie,Yustiana Fahrani .S,,Hahaha emang kalo kalian benci aku terus aku gelo gitu galau gitu sedih gitu pengen mati gitu? SORRY? Hahaha,,[],[],0,0,0,,[],https://twitter.com/yhe_fahranie/status/424554780669640706,,,0.0,https://pbs.twimg.com/profile_images/537166453300928512/sVgxluGW.jpeg,,,,,,,,,,,False,hahaha emang kalau kalian benci terus gila galau sedih ingin mati sorry hahaha
2,464759654438801408,464627275439566849,1399642311000,2014-05-09,20:31:51,SE Asia Standard Time,77668466,viegyuzizi,via 소피아,,@tamochii ah sialan -_- lu diajak ngomong serius malah kaya gitu :( gue tau gue bitchy tp tu org OMG lu kalo tau asli itu parah separah2nya,,[],[],0,0,0,,[],https://twitter.com/viegyuzizi/status/464759654438801408,,,0.0,https://pbs.twimg.com/profile_images/857586432612810752/wG4RzYoJ.jpg,,,,,,,,,,,False,ah sial kamu ajak ngomong serius malah kaya tau saya bitchy orang ya tuhan kamu kalau tau asli itu parah separah2nya
3,487431696330264576,487431696330264576,1405047747000,2014-07-11,10:02:27,SE Asia Standard Time,329514908,erlina_safitri1,Erlina s,,Itu Rambutnya asli apa gk ya?OMG badayyyy bigits HAHA — ASLIII huh. omgggg serius?:p kamu boonggg:p  http://ask.fm/a/b0l03ok8 ,,['http://ask.fm/a/b0l03ok8'],[],0,0,0,,[],https://twitter.com/erlina_safitri1/status/487431696330264576,,,0.0,https://pbs.twimg.com/profile_images/914332343782928384/kEdTUGMd.jpg,,,,,,,,,,,False,rambut asli apa ya ya tuhan badayyyy bigits haha asliii huh omgggg serius p kamu boonggg p
4,489888664575832064,489888664575832064,1405633533000,2014-07-18,04:45:33,SE Asia Standard Time,70299501,ulfatis,Ulfatisyarifah,,@rianyynt dih le ultah? serius lu? Asli ultah lu sekarang? Gilaaa Omg helowww banget lu ultah. asli gak nyangka gua le,['rianyynt'],[],[],0,0,0,,[],https://twitter.com/ulfaTis/status/489888664575832064,,,0.0,https://pbs.twimg.com/profile_images/928503046971080705/NfFFyZkN.jpg,,,,,,,,,,,False,dih le ulang tahun serius kamu asli ulang tahun kamu sekarang gilaaa ya tuhan helowww banget kamu ulang tahun asli nyangka le
5,531345043567546368,531345043567546368,1415517504000,2014-11-09,14:18:24,WIB,68720817,ayukristy,Ayu Kristy,,Mungkin genre nya sedih-sedih mendayu galau pengen mati gitu kali ya. Kan kyu banget itu HAHAHA,,[],[],0,0,0,,[],https://twitter.com/ayukristy/status/531345043567546368,,,0.0,https://pbs.twimg.com/profile_images/774814894952636416/OzFOiBt8.jpg,,,,,,,,,,,False,mungkin genre nya sedih sedih dayu galau mati kali kan kyu banget hahaha
6,534283660724154368,534283660724154368,1416218125000,2014-11-17,16:55:25,SE Asia Standard Time,1956388418,yangsdery,nata is hiatus,,omg daddy ganteng banget asli serius  https://twitter.com/TIYCS_SUHO/status/534278470251991040/photo/1 pic.twitter.com/PveadkSiPM ,,['https://twitter.com/TIYCS_SUHO/status/534278470251991040/photo/1'],[],0,0,0,,[],https://twitter.com/yangsdery/status/534283660724154368,,,0.0,https://pbs.twimg.com/profile_images/1119555399516975104/6jgCtvqN.jpg,,,,,,,,,,,False,ya tuhan daddy ganteng banget asli serius pic twitter com pveadksipm
7,578186418784088065,578186418784088065,1426685359000,2015-03-18,20:29:19,SE Asia Standard Time,2930845140,awdrrr__,Gelang Putih Mas Jom,,"OMG😱 ""@Viiccennt22: Menjalin hubungan segitiga antara gue, kasur, dan guling. Itu rasanya, nyaman banget. Serius, asli.""",,[],[],0,0,0,,[],https://twitter.com/awdrrr__/status/578186418784088065,,,0.0,https://pbs.twimg.com/profile_images/1043797744341700608/2marmvBO.jpg,,,,,,,,,,,False,ya tuhan jalin hubung segitiga saya kasur guling rasa nyaman banget serius asli
8,608622798722850817,608619295094898688,1433941957000,2015-06-10,20:12:37,SE Asia Standard Time,3316666745,syifafauziah25,Syifa,,"haha emng iya dek, udah biasa mah gk stres :p @yuniasriah1 @SyifaaaaFau yaallah gondok bgt ka kalo gitu mah-_- udh berisik,berantakan",['yuniasriah1'],[],[],1,0,0,,[],https://twitter.com/syifafauziah25/status/608622798722850817,,,0.0,https://pbs.twimg.com/profile_images/644854181522575360/Xq5hEwsp.jpg,,,,,,,,,,,False,haha emang iya dek biasa mah stres p yaallah gondok banget ka kalau mah berisik beranta
9,616684015085584388,616684015085584388,1435863901000,2015-07-03,02:05:01,SE Asia Standard Time,617739296,dewip_17,Dewi,,"Stres , pusing , gondok yang kena sasaran gw :D udh biasa kok :* jd udh kebal deh",,[],[],0,0,0,,[],https://twitter.com/dewip_17/status/616684015085584388,,,0.0,https://pbs.twimg.com/profile_images/615192665227833348/0e9hpNcA.jpg,,,,,,,,,,,False,stres pusing gondok kena sasar d biasa kok jadi kebal deh
