id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url,gif_thumb,gif_url,has_parent_tweet,is_quote_status,is_reply_to,quote_id,replies,tags,video_thumb,video_url
344753370717880320,344753370717880320,1371030583000,2013-06-12,16:49:43,WIB,568842350,snsdseororohyun,서주현 IS BACK!,,[] lagi galau + patah hati + kecewa + sedih = pengen mati rasanya T.T,,[],[],0,0,0,,[],https://twitter.com/SNSDSeororohyun/status/344753370717880320,,,0.0,https://pbs.twimg.com/profile_images/891673537592741888/ZcNm7zxX.jpg,,,,,,,,,,
352666527796965377,352666527796965377,1372917227000,2013-07-04,12:53:47,WIB,1374001812,hening_d,Hening Dalu R,,Laperr .-. Galau -_- sedih.-. Pengen mati :3,,[],[],0,0,0,,[],https://twitter.com/hening_d/status/352666527796965377,,,0.0,https://pbs.twimg.com/profile_images/949643587943251969/iZ6iDov2.jpg,,,,,,,,,,
355012744627499008,355002334486593538,1373476608000,2013-07-11,00:16:48,WIB,109124388,reinaldohamon,Reinaldo,,"@Tegardd sedih,galau,nangis,bete,gebuk2 tembok,banting hp,nangis lg , bete lg , terus pengen mati deh",['tegardd'],[],[],0,0,0,,[],https://twitter.com/reinaldohamon/status/355012744627499008,,,0.0,https://pbs.twimg.com/profile_images/437443485835096065/seLlzGyW.jpeg,,,,,,,,,,
355567387229159425,355567387229159425,1373608845000,2013-07-12,13:00:45,WIB,332198515,hismapralians,Hisma,,"Galau, paling jatoh juga. Nangis, sedih, curhat, Mentok Mentok pengen MATI. Jangan mau di bodohi sama cinta Ndroo. Cinta galak kaya kura",,[],[],0,0,0,,[],https://twitter.com/Hismapralians/status/355567387229159425,,,0.0,https://pbs.twimg.com/profile_images/1036317606179819521/gqyMBrC2.jpg,,,,,,,,,,
364744860743376897,364744860743376897,1375796926000,2013-08-06,20:48:46,WIB,1540245056,muhalfiandi,Muhammad Alfiandi,,Galau?tidak|sedih?tidak?|senang?tidak|punya pacar?iya|pengen mati?bisa jadi bisa jadi|bosen hidup?iya-_- lg gila gk ada pacar-_-,,[],[],0,0,0,,[],https://twitter.com/MuhAlfiandi/status/364744860743376897,,,0.0,https://pbs.twimg.com/profile_images/460405546651107328/57pyf7oH.jpeg,,,,,,,,,,
370184112134307840,370184112134307840,1377093744000,2013-08-21,21:02:24,WIB,332180595,fitalokafiska,Hidup Seperti Larry,,"Ketawa, sedih, nangis, seneng, galau, bete, nyebelin, pengen mati atau apapun itu resikonya nanti!",,[],[],0,0,0,,[],https://twitter.com/fitalokafiska/status/370184112134307840,,,0.0,https://pbs.twimg.com/profile_images/1122060332225060866/_gLoPQ_t.jpg,,,,,,,,,,
381730716800647168,381730716800647168,1379846669000,2013-09-22,17:44:29,WIB,262988743,marooen_cten,marooen c-ten,,Glenn fredly_sedih tak berujung @milarahmadhania: Lagu galau yang bikin kamu rasanya pengen mati apa sih?,['milarahmadhania'],[],[],0,0,0,,[],https://twitter.com/marooen_cten/status/381730716800647168,,,0.0,https://pbs.twimg.com/profile_images/1792084901/j.jpg,,,,,,,,,,
382816848175058945,382814869268885504,1380105623000,2013-09-25,17:40:23,WIB,73873985,grumiaw,Grumia Fordanie T,,@danardwidya pengen aja :v itu bukan galau sedih pengen mati kok :p /plak oke,['danardwidya'],[],[],1,0,0,,[],https://twitter.com/Grumiaw/status/382816848175058945,,,0.0,https://pbs.twimg.com/profile_images/446941490413973504/B9I5MjAk.jpeg,,,,,,,,,,
388174374106173440,388174374106173440,1381382957000,2013-10-10,12:29:17,WIB,1562598511,ameliaindriani6,amelia indriani,,"rasanya ini hati pengen gua copot biar gua mati rasa :'( biar ngga bisa lagi ngerasain yang namanya sakit hati , galau , kecewa , sedih:(",,[],[],1,1,0,,[],https://twitter.com/Ameliaindriani6/status/388174374106173440,,,0.0,https://pbs.twimg.com/profile_images/690260761629749248/c3jW04Ef.jpg,,,,,,,,,,
393308921378525184,393308921378525184,1382607128000,2013-10-24,16:32:08,WIB,302551702,theresiavillaa,Theresia Villa A,,"sedih galau pengen mati""@HanyaJawab: Apa perasaan lo ketika lagi dimarahin sama ortu? #HJ @vidyacima""",['hanyajawab'],[],[],0,0,0,,['#hj'],https://twitter.com/theresiavillaa/status/393308921378525184,,,0.0,https://pbs.twimg.com/profile_images/1115251109159817216/DTE3ol3g.jpg,,,,,,,,,,
